category,period,n_transactions,n_suppliers,total_spend,spend_share_within_period_pct,anomaly_rate_pct,new_supplier_rate_pct,hhi
Contr Photocopier Rental,covid,2,1,106532.81,0.0,0.0,0.0,10000.0
Contr Premises Security,pre_covid,1,1,33448.0,0.0,100.0,100.0,10000.0
Contr Refuse & Clin Waste,covid,28,2,1645872.66,0.003,0.0,3.571,6068.6
Contr Refuse & Clin Waste,post_covid,2,1,82507.87,0.0,0.0,0.0,10000.0
Contr Refuse & Clin Waste,pre_covid,19,1,1208027.6500000001,0.004,0.0,0.0,10000.0
Contractual Clinical Srv,post_covid,1,1,25560.0,0.0,0.0,0.0,10000.0
Course Fees,covid,2,2,150000.0,0.0,0.0,50.0,5000.0
DESKTOP HARD/W,covid,3,3,236358.80000000002,0.0,0.0,0.0,5415.0
DIAGNOSTIC TESTS NON NHS,pre_covid,2,1,107255.0,0.0,0.0,0.0,10000.0
DIAGNOSTIC TESTS OTHER NHS,covid,3,1,65721.34,0.0,33.333,33.333,10000.0
Dividend Payment,pre_covid,1,1,2674000.0,0.01,0.0,0.0,10000.0
Drugs,covid,660,20,42557209.20999999,0.071,0.152,0.606,1973.2
Drugs,post_covid,30,11,1217015.3099999998,0.001,0.0,0.0,1115.4
Drugs,pre_covid,45,2,8503443.5,0.031,0.0,0.0,9538.6
ELECTRICITY,covid,6,1,413958.0,0.001,0.0,0.0,10000.0
ELECTRICITY,pre_covid,28,1,1820146.5700000003,0.007,0.0,0.0,10000.0
ENGIN & MAINT DAY TO DAY,pre_covid,1,1,33372.0,0.0,0.0,0.0,10000.0
ENGIN AND MAINT EQUIP AND MATS,pre_covid,2,2,52934.0,0.0,0.0,100.0,5089.1
ENGIN AND MAINT EXT CONTRACTS,covid,1,1,60613.24,0.0,0.0,100.0,10000.0
ENGIN AND MAINT EXT CONTRACTS,pre_covid,3,3,98642.65,0.0,33.333,100.0,3495.5
ENGINEERING SERVICES,covid,3,2,1594499.2000000002,0.003,0.0,33.333,9628.3
ENGINEERING SERVICES,pre_covid,13,6,905332.48,0.003,0.0,15.385,3576.6
EQUIPMENT,covid,1,1,55087.31,0.0,0.0,0.0,10000.0
EQUIPMENT >5K,covid,24,10,3167288.09,0.005,0.0,25.0,3072.7
EQUIPMENT >5K,pre_covid,18,9,1346220.98,0.005,5.556,27.778,1896.8
EQUIPMENT REPAIRS _ MATERIALS,pre_covid,1,1,24868.86,0.0,0.0,0.0,10000.0
EXCLUDED DEVICES,covid,2,1,66426.0,0.0,0.0,0.0,10000.0
EXCLUDED DEVICES,pre_covid,7,2,254026.32,0.001,14.286,14.286,8092.8
EXTERNAL AUDIT,pre_covid,1,1,54884.4,0.0,0.0,0.0,10000.0
EXTERNAL CONTRACTS,covid,3,3,122718.98,0.0,33.333,33.333,3968.9
EXTERNAL CONTRACTS,pre_covid,8,2,478784.33999999997,0.002,0.0,0.0,7399.8
EXTERNAL LAUNDRY CONTRACT,covid,7,1,325775.43,0.001,0.0,0.0,10000.0
EXTERNAL LAUNDRY CONTRACT,pre_covid,18,1,820453.34,0.003,0.0,0.0,10000.0
EXTERNAL PAYROLL CONTRACT,covid,1,1,35446.1,0.0,0.0,0.0,10000.0
Education and training,covid,196,80,34641700.61227937,0.058,0.51,18.878,1684.1
Education and training,post_covid,6210,860,8162100231.164673,8.535,2.834,5.072,70.9
Education and training,pre_covid,113,44,23773586.990000002,0.087,1.77,5.31,2590.6
Electricity,covid,57,2,6769547.069999999,0.011,0.0,1.754,6206.2
Electricity,post_covid,2,1,165972.74,0.0,0.0,0.0,10000.0
Electricity,pre_covid,13,1,1440423.1700000002,0.005,0.0,0.0,10000.0
Equip Maint Contracts,covid,24,3,924073.44,0.002,0.0,0.0,5361.0
Equip Maint Contracts,post_covid,12,1,120394.55,0.0,0.0,0.0,10000.0
Equip Maint Contracts,pre_covid,15,5,1315384.34,0.005,0.0,0.0,4109.5
Establishment,covid,2676,303,491452683.62350833,0.817,0.859,5.904,349.1
Establishment,post_covid,5404,449,1206067678.2325287,1.261,0.629,3.923,293.4
Establishment,pre_covid,1349,203,153368872.4,0.561,0.371,5.263,327.6
Exclude,post_covid,59,52,30636.37,0.0,81.356,62.712,535.8
Ext Contr Domestics,pre_covid,1,1,25760.0,0.0,0.0,0.0,10000.0
Ext Contr Laundry,covid,24,2,1836906.18,0.003,0.0,4.167,9694.4
Ext Contr Laundry,post_covid,2,2,118856.92,0.0,50.0,0.0,6381.6
Ext Contr Laundry,pre_covid,17,2,1143906.7199999997,0.004,0.0,0.0,7825.5
External Consultancy Fees,covid,113,10,1261579.3,0.002,0.885,3.54,5591.6
External Consultancy Fees,post_covid,3,3,115326.53,0.0,66.667,0.0,4240.0
External Consultancy Fees,pre_covid,17,7,1145489.74,0.004,0.0,5.882,3040.4
External Data Contracts,pre_covid,3,1,127200.0,0.0,0.0,0.0,10000.0
FINANCIAL LEDGER,pre_covid,2,1,211174.86,0.001,0.0,50.0,10000.0
FUEL - STEAM,covid,13,2,809719.08,0.001,0.0,0.0,5939.7
FUEL - STEAM,pre_covid,22,2,984882.38,0.004,0.0,4.545,5695.6
Foundation Programme - F2,covid,2,1,26976.78,0.0,0.0,0.0,10000.0
Foundation Programme - F2,pre_covid,6,1,79707.20999999999,0.0,0.0,0.0,10000.0
Furniture & Fittings,covid,8,3,133047.18,0.0,12.5,12.5,3490.0
GP SPECIALIST TRAINEE,covid,6,1,784004.49,0.001,0.0,0.0,10000.0
GP SPECIALIST TRAINEE,pre_covid,10,1,1122250.3900000001,0.004,0.0,0.0,10000.0
GP Sessions / Staff Fund,covid,1,1,68891.16,0.0,0.0,100.0,10000.0
GPMS/APMS and PCTMS,covid,12476,2224,1597513187.42,2.654,2.108,9.162,29.5
GPMS/APMS and PCTMS,post_covid,7417,2045,697433556.8,0.729,1.968,5.838,117.6
GPMS/APMS and PCTMS,pre_covid,6914,1251,479142080.64,1.752,0.853,2.271,27.7
GRANTHAM PHARMACY CREDITORS,pre_covid,2,2,54814.75,0.0,0.0,0.0,5001.1
Gas,covid,28,2,1276688.9500000002,0.002,3.571,0.0,9586.2
Gas,post_covid,1,1,72282.26,0.0,0.0,0.0,10000.0
Gas,pre_covid,22,2,1406944.6199999996,0.005,0.0,4.545,5864.4
General Dental services and personal dental services,covid,336,49,43860085.45,0.073,0.893,1.19,705.4
General Dental services and personal dental services,post_covid,169,38,24942678.61,0.026,1.183,2.367,719.9
General Dental services and personal dental services,pre_covid,745,67,118259111.88,0.432,0.268,0.671,386.5
General Opthalmic services,covid,4008,142,146480576.7,0.243,11.751,2.919,7024.5
General Opthalmic services,post_covid,2214,64,91299317.45,0.095,6.911,1.039,4376.3
General Opthalmic services,pre_covid,1997,31,72501360.24000001,0.265,0.3,0.451,7314.5
Grants Research Exp,covid,100,20,5527807.0,0.009,3.0,12.0,2118.5
Grants Research Exp,post_covid,10,7,471476.95,0.0,0.0,0.0,2237.6
Grants Research Exp,pre_covid,38,10,1954024.7987999998,0.007,5.263,7.895,2831.2
Grants to Other public bodies,covid,152,60,159632730.45,0.265,9.868,5.921,6013.5
Grants to Other public bodies,post_covid,81,38,145901613.0,0.153,9.877,1.235,4642.4
Grants to Other public bodies,pre_covid,95,63,16359736.57,0.06,5.263,6.316,352.0
HIRE OF CLINICAL EQUIPMENT,pre_covid,4,1,444318.96,0.002,0.0,0.0,10000.0
Hearing Aids: Repairs,covid,3,1,130387.5,0.0,0.0,0.0,10000.0
INTERNAL AUDIT,pre_covid,2,2,120210.0,0.0,50.0,50.0,5041.9
IT Additions,covid,200,20,7203166.33,0.012,1.5,3.0,4021.6
IT Additions,post_covid,13,2,350007.16000000003,0.0,0.0,0.0,5892.8
IT Additions,pre_covid,18,3,636003.8400000001,0.002,5.556,0.0,4419.9
Income tax - Current,post_covid,1,1,3256431.09,0.003,0.0,0.0,10000.0
Independent Sector,covid,31,4,2702868.6,0.004,3.226,0.0,4325.8
Independent Sector,pre_covid,32,2,1194754.33,0.004,0.0,0.0,5020.0
Insurance Costs,covid,2,1,361877.85,0.001,0.0,0.0,10000.0
Insurance Costs,pre_covid,2,2,654005.0599999999,0.002,0.0,50.0,7794.3
Interest Payable,pre_covid,4,1,464531.70999999996,0.002,0.0,0.0,10000.0
Investments Govt Security,pre_covid,4,2,81500000.0,0.298,0.0,0.0,5031.8
LLOYDS PHARM DISPENSING COSTS,covid,2,1,139193.0,0.0,0.0,0.0,10000.0
LLOYDS PHARM DISPENSING COSTS,pre_covid,3,1,194985.0,0.001,0.0,0.0,10000.0
LLOYDS PHARMACY,covid,1,1,1022345.65,0.002,0.0,0.0,10000.0
LLOYDS PHARMACY,pre_covid,8,1,7592502.16,0.028,0.0,0.0,10000.0
LOSSES _ COMPENSATIONS,pre_covid,2,2,54694.740000000005,0.0,0.0,50.0,5004.0
Laboratory Bottles & Cont,pre_covid,1,1,28926.18,0.0,0.0,0.0,10000.0
Laboratory External Tests,covid,91,3,17618916.22,0.029,0.0,0.0,5518.9
Laboratory External Tests,pre_covid,26,2,8691220.73,0.032,0.0,0.0,5032.2
Lease Charges,covid,58,2,3060059.7800000003,0.005,0.0,0.0,5369.3
Lease Charges,post_covid,8,2,154936.84,0.0,0.0,0.0,5561.6
Lease Charges,pre_covid,42,3,2074723.2,0.008,0.0,2.381,5251.7
Legal / Prof Fees,covid,2,1,35000.0,0.0,50.0,50.0,10000.0
Legal / Prof Fees,pre_covid,2,1,62548.39,0.0,0.0,0.0,10000.0
Long Trm Loans - Non-Curr,pre_covid,4,1,3052000.0,0.011,0.0,0.0,10000.0
MAINTENANCE CONTRACTS AND MATS,covid,3,3,87272.20999999999,0.0,0.0,66.667,4449.7
