date,observed,trend,seasonal,resid
2021-12-01,2342030745.5383124,2448467508.0103617,-157702138.17663273,51265375.704583645
2022-01-01,2584777211.436982,2456917392.453098,-158664456.08973822,286524275.0736227
2022-02-01,2513525001.42522,2464606942.713367,53556066.73749414,-4638008.0256409645
2022-03-01,2643897580.5437346,2469951349.6327205,197796211.1900387,-23849980.2790246
2022-04-01,2106362016.2008348,2473025116.412403,-72287761.6918116,-294375338.5197568
2022-05-01,2090063945.243246,2475442112.085135,-346536242.9258267,-38841923.916062355
2022-06-01,2140920796.24,2479079769.8942943,-335197004.829318,-2961968.8249764442
2022-07-01,2434333411.056,2484414599.7551694,605743987.0866263,-655825175.7857955
2022-08-01,2372919245.12,2491797812.808909,-113967090.34222262,-4911477.346686363
2022-09-01,2296053135.496791,2501976004.19141,-171899151.0467368,-34023717.64788246
2022-10-01,2266847063.3794727,2516901519.9368315,696005703.2244204,-946060159.7817793
2022-11-01,2293791102.9467974,2537771268.3314233,-171207353.8269981,-72772811.55762768
2022-12-01,2340953815.602034,2563576379.919329,-232629480.93412012,10006916.616825104
2023-01-01,2282707229.1210065,2592241742.273867,-228423815.91503873,-81110697.23782206
2023-02-01,2381741505.175136,2621108857.3436027,284115938.14701355,-523483290.31548023
2023-03-01,2813819774.3861694,2649261232.4606905,163310538.08090198,1248003.8445768356
2023-04-01,3185897525.811434,2677275676.5204883,134968856.50014666,373652992.79079866
2023-05-01,2666595072.359276,2705113982.508771,-469289517.6565208,430770607.5070257
2023-06-01,5600549569.7548,2732397022.436446,-346235994.65138656,3214388541.96974
2023-07-01,3413034107.447683,2759314933.843898,643243971.9018977,10475201.70188713
2023-08-01,2476697420.6,2785586477.211979,-367109992.9223304,58220936.31035137
2023-09-01,2637476950.420467,2810781103.2497587,-289014199.60739,115710046.7780981
2023-10-01,3805245492.829541,2832179157.237818,881970934.9374079,91095400.65431547
2023-11-01,2559820513.883657,2846453048.766761,-222713929.303875,-63918605.57922888
2023-12-01,2549438646.8386593,2853208096.2516174,-360387800.4830692,56618351.070111275
2024-01-01,2637803266.920274,2854556042.2220273,-278098411.43723166,61345636.13547802
2024-02-01,3394847864.3662324,2849752912.371653,538298818.6138096,6796133.38076973
2024-03-01,3010487846.3,2844312091.478756,148225508.48288402,17950246.33836031
2024-04-01,3203259116.425759,2838563916.6336193,359090469.8028519,5604729.989287376
2024-05-01,2271962420.634387,2832557521.213779,-576791172.5218973,16196071.94250536
2024-06-01,2487261649.184088,2826300426.4952536,-346303377.9801375,7264600.668972015
2024-07-01,3512373292.8133993,2819795568.941473,688422617.0764713,4155106.795454979
2024-08-01,2172418322.648582,2813048322.600425,-623404757.9949807,-17225241.956861973
2024-09-01,2378650303.69,2806068882.8196306,-400766815.8454819,-26651763.284148693
2024-10-01,3817911559.68188,2798879221.8693056,1060216317.5842408,-41183979.77166653
2024-11-01,2603507102.79132,2791517464.696081,-258889072.0849755,70878710.1802144
2024-12-01,2267827440.16586,2784030021.9910126,-490324552.36342627,-25878029.46172619
