category,spend_covid,spend_post_covid,spend_pre_covid,pct_change_pre_to_covid,pct_change_covid_to_post,n_transactions_total
ELECTRICITY,3025446.75,0.0,2732201.52,10.732928294396087,-100.0,89
Contr Other External,4830714.13,8907555.18,4430443.449999999,9.034551157627362,84.39416906667586,323
VISITING CONSULTANTS,39653.45,0.0,37099.32,6.884573625608226,-100.0,2
CONSULTANTS FEES,888359.38,0.0,838200.7699999999,5.984080639773226,-100.0,36
Cleaning Equipment,153239.98,115160.0,145824.01,5.085561698653055,-24.849898831884477,21
Senior Manager Band 8C,46769.86,115068.51999999999,45496.0,2.7999384561280127,146.03135438079136,14
Nurse band 5,6554.98,0.0,6555.0,-0.0003051106026001,-100.0,2
Pacemakers,520741.2,39985.2,533936.4,-2.471305571225339,-92.32148330111004,42
SUBSCRIPTION  FEES,976586.67,0.0,1024155.22,-4.644662163612263,-100.0,9
COMPUTER PURCHASE ACCESSORIES,633510.03,0.0,669791.2699999999,-5.416797982452037,-100.0,13
ACCOMMODATION,118800.0,0.0,129600.0,-8.333333333333332,-100.0,4
LLOYDS PHARMACY,10937137.77,0.0,12030113.96,-9.085335298020745,-100.0,23
RENTS,1101731.2100000002,0.0,1260927.1500000001,-12.625308290015006,-100.0,35
Gas,1276688.9500000002,14936366.309999999,1463164.3199999996,-12.744663565880247,1069.9299433898914,212
EXCLUDED DEVICES,456318.0,0.0,525169.92,-13.110408151327485,-100.0,25
X-Ray Equipment Purchase,314825.01999999996,1558834.65,373059.38,-15.609943918311354,395.14319097001885,119
External Consultancy Fees,1261579.3,3827861.38,1497489.74,-15.753726633212187,203.41821397989014,210
Equip Maint Contracts,924073.44,1026928.7699999999,1315384.34,-29.748788099453893,11.130644551368121,116
PHOTOCOPIER MACHINES,162987.0,0.0,237072.0,-31.25,-100.0,5
Consultant,357543.77,660055.9,611366.8,-41.517306795200525,84.60841871192441,33
Legal / Prof Fees,35000.0,137151.5,62548.39,-44.04332389690606,291.8614285714286,8
Insurance Costs,361877.85,831569.53,654005.0599999999,-44.66742352115746,129.7928790059961,13
Agency Nursing:Op Dept Pr,3189.9700000000003,52482.00000000001,5961.900000000001,-46.49407068216508,1545.219234036684,51
COST OF FP 10 PRESCRIPTIONS,26701.41,0.0,50708.979999999996,-47.34382352001558,-100.0,3
NonNHS Trade Pybls Curr,11734943.16,48111754.2,22815628.92,-48.56620783434446,309.98710896184696,808
SERVICES FROM NON-NHS BODIES,1634503.51,0.0,3224247.8300000005,-49.30589718346807,-100.0,29
Travel & Subsistence,28003.41,194889.04999999996,59426.25,-52.877036663090806,595.9475649572676,21
LLOYDS PHARM DISPENSING COSTS,139193.0,0.0,346314.0,-59.80728471849247,-100.0,7
MEDICAL LOCUMS,138780.0,0.0,352185.0,-60.59457387452617,-100.0,17
General Dental services and personal dental services,43860085.449999996,24942678.61,118259111.88000001,-62.9118765118871,-43.13125851422617,1250
ENGIN AND MAINT EQUIP AND MATS,35676.71,0.0,101953.05,-65.00672613521616,-100.0,5
DESKTOP SOFT/W,51211.69,0.0,148372.18,-65.4843044026178,-100.0,4
Foundation Programme - F2,26976.78,0.0,79707.20999999999,-66.15515710561189,-100.0,8
PROPERTY LEASE,546276.01,0.0,1639258.9800000002,-66.67542977254271,-100.0,19
STUDENT LOAN RE-PAYMENTS,38572.0,0.0,129778.0,-70.27847555055557,-100.0,17
OTHER AMBULANCE SERVICES,285600.0,0.0,969861.48,-70.55249580589592,-100.0,18
WAN USAGE,542817.01,0.0,1856945.08,-70.7682787258307,-100.0,35
Other Gen Supplies & Srv,37951.24,226000.0,146530.0,-74.10002047362315,495.5009638683743,6
APPRENTICE LEVY (HMRC),25366.0,0.0,99306.0,-74.45672970414677,-100.0,16
NI EES,220095.18999999997,0.0,861686.2200000001,-74.45761753042774,-100.0,17
Med & Surg Equip Leases,64982.9,1275119.2000000002,262581.87,-75.25232796917777,1862.238065706517,45
NI ERS,657801.61,0.0,2781194.25,-76.34823205894375,-100.0,17
STRUCTURE,2366156.21,0.0,13722008.350000001,-82.75648760992044,-100.0,100
OTHER NURSE MANAGER,9503.6,0.0,88540.88,-89.2664269883019,-100.0,3
Senior Manager Band 8D,25781.72,0.0,575357.16,-95.5190059683971,-100.0,6
CHILDCARE VOUCHERS,0.0,0.0,246996.30000000002,-100.0,,8
Bldg/Eng Equip Maint Cont,0.0,0.0,23787.56,-100.0,,1
CORE TRAINEE,0.0,0.0,135000.0,-100.0,,2
AGENCY SENIOR MANAGER,0.0,0.0,103551.0,-100.0,,2
Bldg/Eng Equip Maint/Rep,0.0,119934.06,36532.0,-100.0,,5
BUILD MAINT DAY TO DAY,0.0,0.0,122588.0,-100.0,,3
Ext Contr Domestics,0.0,0.0,25760.0,-100.0,,1
Contr Pest Control,0.0,0.0,48816.0,-100.0,,1
Contr Premises Security,0.0,304966.14,33448.0,-100.0,,4
Dividend Payment,0.0,0.0,2674000.0,-100.0,,1
CONTINUING MEDICAL EDUCATION,0.0,0.0,14762.32,-100.0,,1
CONSULTANCY STRATEGY,0.0,0.0,87674.62,-100.0,,2
CNST contributions,0.0,0.0,12746546.9,-100.0,,9
Audit Fees: Ext non-stat,0.0,0.0,88015.0,-100.0,,2
INSURANCE CHARGES,0.0,0.0,26576.51,-100.0,,1
External Data Contracts,0.0,0.0,127200.0,-100.0,,3
Investments Govt Security,0.0,0.0,81500000.0,-100.0,,4
Interest Payable,0.0,0.0,464531.70999999996,-100.0,,4
Laboratory Reagents,0.0,29253.77,34105.85,-100.0,,6
Long Trm Loans - Non-Curr,0.0,0.0,3552000.0,-100.0,,5
GPTVS INCOME GENERATION,0.0,0.0,6679.36,-100.0,,1
GRANTHAM PHARMACY CREDITORS,0.0,0.0,54814.75,-100.0,,2
Nurse Band 8A,0.0,0.0,36896.15,-100.0,,1
OIL,0.0,0.0,52404.86,-100.0,,2
Med & Surg Equip Repair,0.0,93411.66,23322.36,-100.0,,12
Meeting expense/Room Hire,0.0,49746.95,26844.2,-100.0,,24
Laboratory Bottles & Cont,0.0,0.0,28926.18,-100.0,,1
LOSSES _ COMPENSATIONS,0.0,0.0,83686.74,-100.0,,3
POST MAR 95 RETIREMENTS,0.0,0.0,39887.67,-100.0,,2
PRE MARCH 1995 RETIREMENTS,0.0,0.0,13602.24,-100.0,,2
Printing Design Costs,0.0,0.0,25200.0,-100.0,,1
PRINTING AND STATIONERY,0.0,0.0,35034.01,-100.0,,2
Payt Rec On A/C Susp <1Yr,0.0,0.0,29371.34,-100.0,,1
Phone Rental and Calls,0.0,53978.87,62452.5,-100.0,,2
PGME,0.0,0.0,18224.03,-100.0,,1
PLUMBING WORKS,0.0,0.0,57471.39,-100.0,,2
Service Charge,0.0,0.0,143614.98,-100.0,,1
VAT Cont Out Serv Inp Tax,0.0,0.0,54893.72,-100.0,,1
78H BLOCK CONTRACT,29200.0,0.0,0.0,,-100.0,1
AGENCY ADMIN CLERICAL,187371.37,0.0,0.0,,-100.0,4
AGENCY AHP QUALIFIED,23000.0,0.0,0.0,,-100.0,1
AGENCY HCA  OTHER SUPP STAFF,861297.04,0.0,0.0,,-100.0,22
AGENCY OTHER STT QUALIFIED,11625036.77,0.0,0.0,,-100.0,22
Admin & Clerical Band 8A,0.0,33420.6,0.0,,,2
Admin & Clerical Band 8B,31749.75,0.0,0.0,,-100.0,8
Advertising,35493.6,29578.0,0.0,,-16.666666666666664,3
Agency Admin & Clerical,0.0,124270.0,0.0,,,3
Agency Ahp Qualified,0.0,60000.0,0.0,,,1
Agency Hca Unregistered,133941.6,158012.16,0.0,,17.970936587288787,5
Agency Healthcare Asst,306.0,0.0,0.0,,-100.0,1
Agency M&D Consultant,0.0,1160807.04,0.0,,,31
Agency Maint & Works,0.0,382657.36,0.0,,,4
Agency Nursing Registered,2119248.17,15664501.01,0.0,,639.1536881685735,151
Agency Other Stt,0.0,80884.8,0.0,,,1
Agency Prof & Tech,35000.0,0.0,0.0,,-100.0,1
Ahp B8d,0.0,47952.59,0.0,,,1
Ambulance Services,141120.0,639999.98,0.0,,353.5147250566893,19
Anaesthetics Accessories,174803.04,42623.380000000005,0.0,,-75.61633939547046,4
Appentice Levy - Trust,391034.0,4537803.12,0.0,,1060.4625480137279,30
Archiving Data,0.0,38482.73,0.0,,,1
Ascribe Control: Boston,298225.7,3593695.42,0.0,,1105.025395195652,83
Ascribe Control: Lincoln,611992.85,19210473.819999997,0.0,,3039.0029834498873,431
Aseptic Unit,0.0,50610.0,0.0,,,1
Assistant Medical Director,0.0,85221.65,0.0,,,2
Audit Fees Statutory,0.0,345912.0,0.0,,,6
BEDDING AND LINEN,51737.0,0.0,0.0,,-100.0,1
BIKE INITIATIVE,22733.33,0.0,0.0,,-100.0,1
Bank Consultant,69608.3,1281351.36,0.0,,1740.802547972009,25
Bed Hire,0.0,3638619.2700000005,0.0,,,25
Blood Transfusion Contract,0.0,892350.78,0.0,,,12
"Books, Journals & Subscription",0.0,192190.06,0.0,,,3
Bostonian Other,0.0,2208294.73,0.0,,,32
Breast Care Prosthesis,0.0,44268.880000000005,0.0,,,2
Breast Screening,0.0,211586.89,0.0,,,4
Build Maint Day To Day,0.0,63221.1,0.0,,,2
Build Maint Equip And Mats,0.0,47217.6,0.0,,,1
Building Contracts,0.0,801978.98,0.0,,,12
Building Works,11337706.360000001,760903.6900000002,0.0,,-93.28873348947802,84
Building Works - Auc Pur,3147716.96,40486163.279999994,0.0,,1186.2072351003246,119
Bureau Soft/W,0.0,410184.13,0.0,,,3
Business & Property Management,0.0,60565.24,0.0,,,1
CLINICAL SERVICES FROM NON-NHS,5325902.140000001,0.0,0.0,,-100.0,29
CLINICAL SERVICES OTHER NHS,407743.75,0.0,0.0,,-100.0,13
CNST - NHS ResolutioNHS Litigation Authority,0.0,1583448.0,0.0,,,1
COMPUTER MAINTENANCE,28500.0,0.0,0.0,,-100.0,1
COMPUTER SOFTWARE,278402.4,0.0,0.0,,-100.0,3
CONSULTANTS BANK,113600.34,0.0,0.0,,-100.0,4
Cancer Centre,0.0,30871.0,0.0,,,1
Cardiac Catheter Lab,0.0,79808.64,0.0,,,1
Catering Equip Purchase,81220.75,0.0,0.0,,-100.0,2
Central Accruals,0.0,313770.0,0.0,,,2
Chief Executive,0.0,312698.13,0.0,,,7
Chief Operating Officer,0.0,1358602.01,0.0,,,9
Cleaning Materials,33750.0,0.0,0.0,,-100.0,3
Clin Support Pan Trust Mgmt,0.0,36828.0,0.0,,,1
Clinical Equip Maint Contracts,0.0,8960121.08,0.0,,,59
Clinical Equipment,0.0,378489.9,0.0,,,6
Clinical Equipment Hire,394314.12,0.0,0.0,,-100.0,3
Clinical Service Contract,359169.24,2312480.71,0.0,,543.8415244022567,50
Clinical Training,0.0,77400.0,0.0,,,1
Clinical Waste,0.0,893674.2999999999,0.0,,,23
Clinical excellence awards,52310.33,135891.0,0.0,,159.7785179332648,3
Cnst Contributions,4699580.0,0.0,0.0,,-100.0,6
Computer Hardware,0.0,947379.7800000001,0.0,,,13
Computer Hardware - Auc Pur,689481.97,12541402.420000002,0.0,,1718.9601709236865,116
Computer Network Costs,81774.32,212998.0,0.0,,160.4705242428185,7
Computer Recharges,0.0,502067.83999999997,0.0,,,4
Computer Softw - Auc Pur,600779.6900000001,11939192.590000004,0.0,,1887.2829905418414,55
Conferences And Seminars,0.0,84000.0,0.0,,,1
Consultants Fees - Auc Pur,255330.19,12791415.14,0.0,,4909.75428718398,42
Contr Estate Management,314100.79000000004,53609.18,0.0,,-82.93249119176046,10
Contr Photocopier Rental,106532.81,624287.68,0.0,,486.00508143922985,16
Contract Photocopier Lease,0.0,584430.6,0.0,,,8
Contracting,0.0,799863.5399999999,0.0,,,7
Contractual Clinical Srv,0.0,1009364.0,0.0,,,24
Corporate Facilities,0.0,38869.8,0.0,,,1
Corporate Nursing,0.0,408372.0,0.0,,,1
Course Fees,215343.8,527332.2,0.0,,144.8792117534844,14
Cpd Hee Funding,0.0,100800.0,0.0,,,2
Creditor Suspense,0.0,7825777.52,0.0,,,50
Creditor Suspense_Refunds,0.0,64580.64,0.0,,,1
DESKTOP HARD/W,687976.4500000001,0.0,0.0,,-100.0,11
DIAGNOSTIC TESTS OTHER NHS,309982.37,0.0,0.0,,-100.0,11
Decontamination,0.0,1825794.2200000002,0.0,,,5
Diabetic Retinopathy,0.0,33714.11,0.0,,,1
Diag Tests Non Nhs,0.0,6857234.0,0.0,,,99
Diag Tests Other Nhs,0.0,513392.26000000007,0.0,,,13
Dietetic Products,0.0,170116.96,0.0,,,1
Digital Aspirant Programme,0.0,95880.0,0.0,,,1
Dir Improvement & Integration,0.0,234139.18000000002,0.0,,,3
Doctors Fees (Bd8'S Etc),0.0,129225.57999999999,0.0,,,2
EQUIPMENT,14429738.770000001,0.0,0.0,,-100.0,87
EXTERNAL PAYROLL CONTRACT,283572.79,0.0,0.0,,-100.0,8
Ea Subs & Ict Capital Staffing,0.0,1425737.91,0.0,,,2
Ees Superannuation - Nest,0.0,33038.97,0.0,,,1
Electrical Works,0.0,37586.16,0.0,,,1
Engin & Maint Equip And Mats,171659.45,91073.11,0.0,,-46.94547256209897,3
Engineering Contracts,0.0,171898.58000000002,0.0,,,24
Engineering Services - Auc Pur,578683.73,20298271.430000003,0.0,,3407.6623685272784,121
Equality & Diversity,0.0,64488.0,0.0,,,1
Equipment Medical - Auc Pur,101412.72,23981973.380000003,0.0,,23547.894840016128,148
Equipment Other - Auc Pur,1447876.4699999997,1157123.81,0.0,,-20.08131674382413,28
Ers Superannuation - Nest,0.0,31597.09,0.0,,,1
Esr & Health Roster System,0.0,214983.36,0.0,,,2
Estates Restore,0.0,288049.81,0.0,,,3
Exclude,0.0,30636.37,0.0,,,59
Excluded Devices Expenditure,489784.27,3284506.0699999994,0.0,,570.6026042853518,47
Ext Consultancy Strategy Fees,0.0,228990.0,0.0,,,3
