year_month,period,source,hhi
2023-03,post_covid,NHS_England,106.6861881225515
2023-03,post_covid,United_Lincolnshire_Hospitals,1167.776066742872
2023-04,post_covid,Bradford_Teaching_Hospitals,904.3019270615445
2023-04,post_covid,NHS_England,112.32311638723844
2023-04,post_covid,United_Lincolnshire_Hospitals,1373.1100540161497
2023-05,post_covid,Bradford_Teaching_Hospitals,636.1820529963242
2023-05,post_covid,NHS_England,132.81486007344864
2023-05,post_covid,United_Lincolnshire_Hospitals,1824.782874240102
2023-06,post_covid,Bradford_Teaching_Hospitals,588.3625267588473
2023-06,post_covid,NHS_England,82.41891163761251
2023-06,post_covid,United_Lincolnshire_Hospitals,1344.6368016573967
2023-07,post_covid,Bradford_Teaching_Hospitals,416.7296579382877
2023-07,post_covid,NHS_England,104.03105535355695
2023-07,post_covid,United_Lincolnshire_Hospitals,3082.7597759476043
2023-08,post_covid,Bradford_Teaching_Hospitals,693.8786502405774
2023-08,post_covid,NHS_England,121.12817223215893
2023-08,post_covid,United_Lincolnshire_Hospitals,1781.1834162499813
2023-09,post_covid,Bradford_Teaching_Hospitals,934.0543258698216
2023-09,post_covid,NHS_England,115.86520218428078
2023-09,post_covid,United_Lincolnshire_Hospitals,2392.7421233917757
2023-10,post_covid,Bradford_Teaching_Hospitals,428.81701576037455
2023-10,post_covid,NHS_England,105.37714252388487
2023-10,post_covid,United_Lincolnshire_Hospitals,2300.055611673781
2023-11,post_covid,Bradford_Teaching_Hospitals,463.5427971584595
2023-11,post_covid,NHS_England,117.16943747690101
2023-11,post_covid,United_Lincolnshire_Hospitals,1742.1865565877229
2023-12,post_covid,Bradford_Teaching_Hospitals,534.7937495368141
2023-12,post_covid,NHS_England,120.15685119526906
2023-12,post_covid,United_Lincolnshire_Hospitals,2596.0645550016807
2024-01,post_covid,Bradford_Teaching_Hospitals,434.4033314787826
2024-01,post_covid,NHS_England,113.4350434897547
2024-01,post_covid,United_Lincolnshire_Hospitals,1845.7794685485592
2024-02,post_covid,Bradford_Teaching_Hospitals,394.3093122468883
2024-02,post_covid,NHS_England,109.75536817307761
2024-02,post_covid,United_Lincolnshire_Hospitals,2149.869382613955
2024-03,post_covid,Bradford_Teaching_Hospitals,396.4860550435494
2024-03,post_covid,NHS_England,112.43246269502255
2024-03,post_covid,United_Lincolnshire_Hospitals,1521.1339621151212
2024-04,post_covid,Bradford_Teaching_Hospitals,371.0926496600727
2024-04,post_covid,NHS_England,104.46782792494099
2024-04,post_covid,United_Lincolnshire_Hospitals,1609.542598574447
2024-05,post_covid,Bradford_Teaching_Hospitals,541.5414625274543
2024-05,post_covid,NHS_England,120.23097711558381
2024-05,post_covid,United_Lincolnshire_Hospitals,1075.9015746785888
2024-06,post_covid,Bradford_Teaching_Hospitals,557.0076289899416
2024-06,post_covid,NHS_England,142.43570452126713
2024-06,post_covid,United_Lincolnshire_Hospitals,1821.3355882764286
2024-07,post_covid,Bradford_Teaching_Hospitals,371.85464987681104
2024-07,post_covid,NHS_England,109.67350686613304
2024-07,post_covid,United_Lincolnshire_Hospitals,2380.963002349607
2024-08,post_covid,Bradford_Teaching_Hospitals,541.4286252750535
2024-08,post_covid,NHS_England,140.9920799809993
2024-08,post_covid,United_Lincolnshire_Hospitals,1317.5088233491128
2024-09,post_covid,Bradford_Teaching_Hospitals,488.86113082647046
2024-09,post_covid,NHS_England,134.52746251173218
2024-09,post_covid,United_Lincolnshire_Hospitals,1841.904622217438
2024-10,post_covid,Bradford_Teaching_Hospitals,463.82047290853455
2024-10,post_covid,NHS_England,106.5348077407786
2024-10,post_covid,United_Lincolnshire_Hospitals,1302.9112033280296
2024-11,post_covid,Bradford_Teaching_Hospitals,429.1375416367398
2024-11,post_covid,NHS_England,131.18117976566228
2024-11,post_covid,United_Lincolnshire_Hospitals,2656.968157514128
2024-12,post_covid,Bradford_Teaching_Hospitals,547.5038474448769
2024-12,post_covid,NHS_England,138.56143914873712
2024-12,post_covid,United_Lincolnshire_Hospitals,1731.795640537043
