node,node_type,degree,degree_centrality,betweenness_centrality,weighted_degree_n_transactions,total_amount,is_multi_trust_supplier,is_high_volume_supplier,is_hub_supplier
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,supplier,2,0.0003780718336483932,0.0,1514,3222524501.92,True,True,True
OUTCOMES BASED HEALTHCARE,supplier,3,0.0005671077504725899,0.00023366852429034573,27,20764376.770000003,True,False,True
PA CONSULTING SERVICES,supplier,4,0.0007561436672967864,0.0005878770669946131,560,139465644.38000003,True,True,True
PALANTIR TECHNOLOGIES UK,supplier,3,0.0005671077504725899,3.2802063120947952e-06,99,133996141.17,True,False,True
PHOENIX PARTNERSHIP LEEDS,supplier,6,0.0011342155009451797,0.0006983310741476834,173,55699174.11000001,True,False,True
PHOENIX SOFTWARE,supplier,5,0.000945179584120983,0.00033974852730479376,78,8447955.71,True,False,True
PRICEWATERHOUSECOOPERS,supplier,3,0.0005671077504725899,0.00023366852429034573,93,25887135.54,True,False,True
PRIVATE PUBLIC,supplier,2,0.0003780718336483932,0.0,12,614969.19,True,False,True
PROACT IT UK,supplier,1,0.0001890359168241966,0.0,4,187094.97999999998,False,False,False
RISUAL,supplier,1,0.0001890359168241966,0.0,5,977581.2000000001,False,False,False
ROYAL FREE LONDON NHS FOUNDATION TRUST,supplier,3,0.0005671077504725899,0.00023366852429034573,1539,2867513374.88,True,True,True
SALFORD ROYAL NHS FOUNDATION TRUST,supplier,3,0.0005671077504725899,0.00027118371868715144,239,730753941.17,True,True,True
SATELLITE APPLICATIONS CATAPULT,supplier,1,0.0001890359168241966,0.0,3,317730.0,False,False,False
SEYMOUR JOHN PUBLIC SERVICES,supplier,2,0.0003780718336483932,5.710889482399498e-06,60,3425692.53,True,False,True
SEYMOUR JOHN PUBLIC SERVICES MIDLANDS,supplier,2,0.0003780718336483932,5.7166060884879855e-06,15,910173.6,True,False,True
SOFTCAT,supplier,8,0.0015122873345935729,0.0012032830873267022,299,109026536.64999999,True,True,True
SOFTWARE BOX,supplier,4,0.0007561436672967864,3.769512070933141e-05,19,2413655.33,True,False,True
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,supplier,3,0.0005671077504725899,0.00027118371868715144,531,291815092.73,True,True,True
SOUTHERN COMMUNICATIONS CORPORATE SOLUTIONS,supplier,1,0.0001890359168241966,0.0,2,87123.13,False,False,False
SPECIALIST COMPUTER CENTRES,supplier,6,0.0011342155009451797,0.0006983310741476834,216,39306579.7,True,True,True
STORM TECHNOLOGIES,supplier,1,0.0001890359168241966,0.0,4,214186.75,False,False,False
TALK STRAIGHT,supplier,2,0.0003780718336483932,5.434047984679489e-06,4,146987.52000000002,True,False,True
TEKIHEALTH SOLUTIONS,supplier,1,0.0001890359168241966,0.0,3,224945.92,False,False,False
TOTAL COMPUTER NETWORKS,supplier,1,0.0001890359168241966,0.0,2,126473.54000000001,False,False,False
TRANSPUTEC,supplier,1,0.0001890359168241966,0.0,3,119162.21,False,False,False
TRUSTMARQUE SOLUTIONS,supplier,7,0.0013232514177693763,0.0011289832230386414,272,69510987.17,True,True,True
TWS PARTNERS,supplier,2,0.0003780718336483932,0.0,6,696538.0,True,False,True
UIPATH SRL,supplier,2,0.0003780718336483932,3.2769261057827004e-06,4,801984.06,True,False,True
UNIVERSITY OF YORK,supplier,4,0.0007561436672967864,5.903975544822494e-05,91,20508604.59,True,False,True
VIRGIN MEDIA BUSINESS,supplier,6,0.0011342155009451797,0.00023095631035833258,172,8682874.93,True,False,True
WIFI SPARK,supplier,1,0.0001890359168241966,0.0,2,62075.24,False,False,False
XMA,supplier,5,0.000945179584120983,0.0005675431602156667,96,14157333.190000001,True,False,True
AAH PHARMACEUTICALS,supplier,2,0.0003780718336483932,0.0,169,24501637.150000002,True,False,True
ADDLESHAW GODDARD,supplier,1,0.0001890359168241966,0.0,2,62548.39,False,False,False
AGE CONCERN MID MERSEY,supplier,1,0.0001890359168241966,0.0,3,96188.1,False,False,False
AGE UK LEEDS,supplier,1,0.0001890359168241966,0.0,6,185996.54,False,False,False
AGFA FINANCE UK,supplier,1,0.0001890359168241966,0.0,27,1249615.1,False,False,False
AGFA HEALTHCARE UK,supplier,1,0.0001890359168241966,0.0,12,610473.3,False,False,False
AIREDALE NHS FOUNDATION TRUST,supplier,2,0.0003780718336483932,0.0,677,141755236.79,True,True,True
ALCON EYE CARE UK,supplier,1,0.0001890359168241966,0.0,2,78000.0,False,False,False
ALEXION PHARMA UK,supplier,1,0.0001890359168241966,0.0,9,327411.6,False,False,False
ALLERGAN,supplier,1,0.0001890359168241966,0.0,3,88740.0,False,False,False
ALLIANCE HEALTHCARE DISTRIBUTION,supplier,1,0.0001890359168241966,0.0,38,1330313.31,False,False,False
ALLIANCE MEDICAL,supplier,2,0.0003780718336483932,0.0,448,618721523.4100001,True,True,True
ALLOGA UK,supplier,3,0.0005671077504725899,3.682916432646071e-05,143,32925894.740000002,True,False,True
ANDRAC,supplier,1,0.0001890359168241966,0.0,4,38508.0,False,False,False
ANSA ELEVATORS,supplier,1,0.0001890359168241966,0.0,2,53700.6,False,False,False
ARCHUS,supplier,2,0.0003780718336483932,0.0,22,1262420.02,True,False,True
ASCRIBE LTD TA EMIS HEALTH,supplier,1,0.0001890359168241966,0.0,4,147364.5,False,False,False
AUDITDATA,supplier,1,0.0001890359168241966,0.0,10,98593.2,False,False,False
AVISON YOUNG UK,supplier,1,0.0001890359168241966,0.0,5,127781.5,False,False,False
AXONEX,supplier,1,0.0001890359168241966,0.0,11,154599.6,False,False,False
AYNSLEY BUILDING SERVICES,supplier,1,0.0001890359168241966,0.0,2,31850.4,False,False,False
B BRAUN STERILOG YORKSHIRE,supplier,1,0.0001890359168241966,0.0,59,4803132.6,False,False,False
BATH ASU,supplier,1,0.0001890359168241966,0.0,2,57364.56,False,False,False
BAXTER HEALTHCARE,supplier,2,0.0003780718336483932,0.0,39,1335944.8399999999,True,False,True
BAYER,supplier,2,0.0003780718336483932,3.682916432646071e-05,183,8503125.01,True,False,True
BAYWATER HEALTHCARE UK,supplier,1,0.0001890359168241966,0.0,49,2175514.87,False,False,False
BERENDSEN UK,supplier,1,0.0001890359168241966,0.0,5,142001.16,False,False,False
BIO PRODUCTS LABORATORY,supplier,1,0.0001890359168241966,0.0,6,177981.0,False,False,False
BLACK CAT EMBROIDERY,supplier,1,0.0001890359168241966,0.0,2,43978.92,False,False,False
BLS ASBESTOS,supplier,1,0.0001890359168241966,0.0,2,102930.0,False,False,False
BOC,supplier,2,0.0003780718336483932,0.0,8,1773302.1700000002,True,False,True
BOSTON SCIENTIFIC,supplier,2,0.0003780718336483932,0.0,59,2414400.0,True,False,True
BRADFORD & DISTRICT COMMUNITY EMPOWERMENT NETWORK,supplier,1,0.0001890359168241966,0.0,2,180000.0,False,False,False
BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,supplier,2,0.0003780718336483932,0.0,320,84258942.71,True,True,True
BRADFORD METROPOLITAN COUNCIL,supplier,1,0.0001890359168241966,0.0,64,4982692.0,False,False,False
BRADFORD METROPOLITAN DISTRICT COUNCIL,supplier,1,0.0001890359168241966,0.0,17,931159.0,False,False,False
BRANDON MEDICAL CO,supplier,1,0.0001890359168241966,0.0,4,111395.98999999999,False,False,False
BRIDGER CARR ARCHITECTS,supplier,1,0.0001890359168241966,0.0,3,116053.5,False,False,False
BUNTON CIVIL & CONSTRUCTION,supplier,1,0.0001890359168241966,0.0,3,115550.2,False,False,False
BUNZL HEALTHCARE,supplier,1,0.0001890359168241966,0.0,224,19525443.87,False,True,True
BURLODGE,supplier,1,0.0001890359168241966,0.0,2,81220.75,False,False,False
CACI,supplier,2,0.0003780718336483932,0.0,15,1879897.4000000001,True,False,True
CAE TECHNOLOGY SERVICES,supplier,2,0.0003780718336483932,3.505711647781807e-05,14,1756976.29,True,False,True
CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,supplier,2,0.0003780718336483932,0.0,615,339645926.09,True,True,True
CANON MEDICAL SYSTEMS,supplier,2,0.0003780718336483932,3.682916432646071e-05,74,4061496.56,True,False,True
CARDIAC SERVICES UK,supplier,1,0.0001890359168241966,0.0,3,76616.0,False,False,False
CARE QUALITY COMMISSION,supplier,2,0.0003780718336483932,0.0,39,6668503.02,True,False,True
CARESTREAM HEALTH UK,supplier,1,0.0001890359168241966,0.0,4,120000.0,False,False,False
CERNER,supplier,2,0.0003780718336483932,3.5092208686504575e-05,84,6898215.1,True,False,True
CHRYSTAL CONSULTING,supplier,1,0.0001890359168241966,0.0,2,81720.0,False,False,False
CIS ONCOLOGY,supplier,1,0.0001890359168241966,0.0,4,82907.63,False,False,False
CITY OF BRADFORD MDC,supplier,1,0.0001890359168241966,0.0,10,610056.65,False,False,False
CLEVERMED,supplier,2,0.0003780718336483932,0.0,26,3907902.09,True,False,True
CLINISYS SOLUTIONS,supplier,2,0.0003780718336483932,3.175337998504658e-05,4,86925.63,True,False,True
CMI HEALTHCARE SERVICES,supplier,1,0.0001890359168241966,0.0,2,39134.7,False,False,False
CNLR HORIZONS,supplier,1,0.0001890359168241966,0.0,4,86208.0,False,False,False
COCHLEAR EUROPE,supplier,1,0.0001890359168241966,0.0,4,56829.6,False,False,False
COMMUNITY HEALTH PARTNERSHIPS,supplier,2,0.0003780718336483932,0.0,483,71936560.27000001,True,True,True
COMMUNITY WORKS,supplier,1,0.0001890359168241966,0.0,2,50000.0,False,False,False
CORPORATE TRAVEL MANAGEMENT NORTH OF ENGLAND,supplier,2,0.0003780718336483932,2.209086340760495e-05,18,758466.5800000001,True,False,True
COYLE PERSONNEL,supplier,1,0.0001890359168241966,0.0,409,402641.2,False,True,True
CRANLEA HUMAN PERFORMANCE,supplier,1,0.0001890359168241966,0.0,2,69970.0,False,False,False
CSC COMPUTER SCIENCES,supplier,2,0.0003780718336483932,2.209086340760495e-05,9,273205.26,True,False,True
CSL BEHRING UK,supplier,2,0.0003780718336483932,3.682916432646071e-05,48,2457936.71,True,False,True
CUBE ELECTRICAL SERVICES,supplier,1,0.0001890359168241966,0.0,6,217692.66,False,False,False
DAISY CORPORATE SERVICES,supplier,1,0.0001890359168241966,0.0,5,356736.0,False,False,False
DAY ARCHITECTURAL,supplier,1,0.0001890359168241966,0.0,2,145682.36,False,False,False
DE LAGE LANDEN LEASING,supplier,1,0.0001890359168241966,0.0,8,289482.96,False,False,False
DEOS CONSULTANCY,supplier,1,0.0001890359168241966,0.0,2,32184.0,False,False,False
