record_id,source,entity,supplier,date,amount,category,period,is_new_supplier,anomaly_score,top_shap_feature,top_shap_value
118793,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-06-30,26781919.73,Services from other NHS bodies,post_covid,0,0.12021097631663402,supplier_txn_seq,3.4868904530269997
118936,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-09-30,23957926.67,Services from other NHS bodies,post_covid,0,0.11675468030629044,supplier_txn_seq,3.4560988686869574
154874,NHS_England,NHS England,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2024-01-31,46698047.0,Services from other NHS bodies,post_covid,0,0.11511331335887942,supplier_txn_seq,3.5137286520296054
63197,NHS_England,NHS England,BRACKNELL FOREST COUNCIL,2024-12-31,18574622.6,Capital,post_covid,1,0.11500170292813228,is_new_supplier,3.071195354480372
119157,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-12-31,23957926.67,Services from other NHS bodies,post_covid,0,0.11421055878493003,supplier_txn_seq,3.3913078175284928
154843,NHS_England,NHS England,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2023-12-31,46572776.0,Services from other NHS bodies,post_covid,0,0.11302905923238749,supplier_txn_seq,3.0376505241789995
154579,NHS_England,NHS England,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2023-07-31,46455068.0,Services from other NHS bodies,post_covid,0,0.11063162209677113,supplier_txn_seq,2.9050498451203604
118932,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-09-30,19374059.0,Services from other NHS bodies,post_covid,0,0.11010787837342362,supplier_txn_seq,3.5015111442720306
118562,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-01-31,17264243.25,Services from other NHS bodies,post_covid,0,0.10979332496064287,supplier_txn_seq,3.8286733688736962
118735,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-04-30,23957926.67,Services from other NHS bodies,post_covid,0,0.10876750084792142,supplier_txn_seq,3.7375070865553375
199108,NHS_England,NHS England,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2024-12-31,21083526.04,Services from other NHS bodies,post_covid,0,0.10841507112254922,supplier_txn_seq,3.2861023831379317
155019,NHS_England,NHS England,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2024-03-31,46585298.0,Services from other NHS bodies,post_covid,0,0.10834257021111804,supplier_txn_seq,3.617523960492035
119125,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-12-31,19374059.0,Services from other NHS bodies,post_covid,0,0.10816431192144205,supplier_txn_seq,3.440160942498667
55664,NHS_England,NHS England,BARTS HEALTH NHS TRUST,2024-12-31,26085661.5,Services from other NHS bodies,post_covid,0,0.10681838599253879,supplier_txn_seq,2.9790614484373035
127239,NHS_England,NHS England,HOSPICE UK,2022-02-28,15244830.0,Grants to Other public bodies,post_covid,0,0.10602313837821375,days_since_last_txn,3.196152836499573
118444,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2023-12-31,17264243.25,Services from other NHS bodies,post_covid,0,0.10590213157822304,supplier_txn_seq,3.3317343196913725
155066,NHS_England,NHS England,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2024-04-30,21325135.08,Services from other NHS bodies,post_covid,0,0.10581935286452915,supplier_txn_seq,3.7718292904847703
118736,NHS_England,NHS England,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,2024-04-30,19374059.0,Services from other NHS bodies,post_covid,0,0.10565972889982156,supplier_txn_seq,3.80574613457451
