category,total_spend,n_transactions,n_periods_active,mean_anomaly_rate_pct,mean_new_supplier_rate_pct,mean_hhi,share_of_total_spend_pct,pct_change_pre_to_covid,pct_change_covid_to_post
Cleaning Equipment,299063.99,14.0,2.0,7.143,7.143,6704.8,0.0002,5.085561698653055,-100.0
Other Public Sector,294250.0,11.0,2.0,0.0,9.091,10000.0,0.0002,20.0,-100.0
CLINICAL SERVICES FROM NON-NHS,285565.92,1.0,1.0,0.0,0.0,10000.0,0.0002,,-100.0
Other Patients Expenses,282184.64,9.0,2.0,11.111,22.222,5831.0,0.0002,883.9480905802781,-100.0
Building Works,280427.05,3.0,1.0,0.0,33.333,5002.6,0.0002,,-100.0
Computer Hardware Purch,265892.26,20.0,2.0,5.0,5.0,6361.0,0.0001,47553.638649425295,-100.0
MEDICAL LOCUMS,259980.0,9.0,2.0,0.0,11.111,8207.4,0.0001,-74.469472006953,-100.0
P&M Additions,258936.02,3.0,1.0,0.0,0.0,10000.0,0.0001,,-100.0
Water,256745.87,17.0,3.0,0.0,0.0,10000.0,0.0001,140.2138556980468,-93.93971154023704
Other,255628.39,2.0,1.0,0.0,0.0,10000.0,0.0001,,
Sewerage,249801.57,16.0,3.0,0.0,6.25,10000.0,0.0001,95.92956169907312,-90.45113329594884
SERVICE AND FM CHARGES,243350.89,7.0,1.0,0.0,0.0,10000.0,0.0001,,-100.0
PHOTOCOPIER MACHINES,237072.0,3.0,1.0,0.0,0.0,10000.0,0.0001,-100.0,
DESKTOP HARD/W,236358.8,3.0,1.0,0.0,0.0,5415.0,0.0001,,-100.0
FINANCIAL LEDGER,211174.86,2.0,1.0,0.0,50.0,10000.0,0.0001,-100.0,
NETWORK SOFT/W,185603.6,2.0,2.0,0.0,50.0,10000.0,0.0001,270.5544118690992,-100.0
Audit Fees: Statutory,178845.45,4.0,2.0,25.0,0.0,10000.0,0.0001,119.36687500000002,-100.0
Anaesthetics Accessories,174803.04,2.0,1.0,0.0,50.0,10000.0,0.0001,,-100.0
ENGIN AND MAINT EXT CONTRACTS,159255.88999999998,4.0,2.0,25.0,100.0,5121.6,0.0001,-38.55270514326207,-100.0
OTHER TRANSPORT COSTS,154356.22,1.0,1.0,0.0,0.0,10000.0,0.0001,-100.0,
CHILDCARE VOUCHERS,153620.11000000002,5.0,1.0,0.0,0.0,10000.0,0.0001,-100.0,
MAINTENANCE CONTRACTS AND MATS,151937.66999999998,5.0,2.0,0.0,40.0,6669.8,0.0001,34.95954409046188,-100.0
Course Fees,150000.0,2.0,1.0,0.0,50.0,5000.0,0.0001,,-100.0
Rechgs to-from Other NHS,147702.19,4.0,2.0,25.0,25.0,6769.0,0.0001,127.2256330182384,-100.0
Senior Manager Band 8C,145174.86,11.0,3.0,0.0,0.0,10000.0,0.0001,2.7999384561280127,13.12627405769442
Service Charge,143614.98,1.0,1.0,0.0,0.0,10000.0,0.0001,-100.0,
SW SUPPORT,141201.63,2.0,1.0,0.0,100.0,6415.2,0.0001,-100.0,
COMPUTER SOFTWARE,140088.0,1.0,1.0,0.0,0.0,10000.0,0.0001,,-100.0
Furniture & Fittings,133047.18,8.0,1.0,12.5,12.5,3490.0,0.0001,,-100.0
Hearing Aids: Repairs,130387.5,3.0,1.0,0.0,0.0,10000.0,0.0001,,-100.0
External Data Contracts,127200.0,3.0,1.0,0.0,0.0,10000.0,0.0001,-100.0,
INTERNAL AUDIT,120210.0,2.0,1.0,50.0,50.0,5041.9,0.0001,-100.0,
COURSE FEES,119326.0,2.0,1.0,0.0,50.0,6675.4,0.0001,-100.0,
Patients Appl: Purchase,108000.0,2.0,1.0,0.0,50.0,10000.0,0.0001,,-100.0
NETWORK HARD/W,107905.67,2.0,1.0,0.0,50.0,5440.1,0.0001,-100.0,
DIAGNOSTIC TESTS NON NHS,107255.0,2.0,1.0,0.0,0.0,10000.0,0.0001,-100.0,
Foundation Programme - F2,106683.98999999999,8.0,2.0,0.0,0.0,10000.0,0.0001,-66.15515710561189,-100.0
Contr Photocopier Rental,106532.81,2.0,1.0,0.0,0.0,10000.0,0.0001,,-100.0
STUDENT LOAN RE-PAYMENTS,106253.0,10.0,2.0,0.0,0.0,10000.0,0.0001,-63.26633036495599,-100.0
RENTS LEASE,98563.71,2.0,1.0,0.0,0.0,10000.0,0.0001,,-100.0
Legal / Prof Fees,97548.39,4.0,2.0,25.0,25.0,10000.0,0.0001,-44.04332389690606,-100.0
OCCUPANCY GUARANTEE,97034.94,3.0,2.0,0.0,0.0,10000.0,0.0001,55.86022721699524,-100.0
NURSE MANAGER BAND 8D,95619.28,1.0,1.0,0.0,100.0,10000.0,0.0001,,-100.0
Audit Fees: Ext non-stat,88015.0,2.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
Travel & Subsistence,87934.66,13.0,3.0,7.692,7.692,9783.0,0.0,-52.877036663090806,-98.19664819391636
CONSULTANCY STRATEGY,87674.62,2.0,1.0,0.0,50.0,5768.0,0.0,-100.0,
SERVICES FROM OTHER NHS,87171.42000000001,3.0,2.0,0.0,33.333,10000.0,0.0,85.68682194728598,-100.0
RECRUITMENT  EXPENSES,85352.66,1.0,1.0,0.0,100.0,10000.0,0.0,,-100.0
Wheelchairs,83741.8,10.0,2.0,20.0,10.0,10000.0,0.0,,-97.22410407461952
Computer Network Costs,81774.32,2.0,1.0,0.0,0.0,10000.0,0.0,,-100.0
Catering Equip Purchase,81220.75,2.0,1.0,0.0,50.0,10000.0,0.0,,-100.0
BUILD MAINT DAY TO DAY,80408.0,2.0,1.0,0.0,0.0,10000.0,0.0,-100.0,
Bldg/Eng Equip Maint/Rep,74182.0,2.0,2.0,50.0,0.0,10000.0,0.0,-100.0,
AGENCY HCA  OTHER SUPP STAFF,73128.0,1.0,1.0,0.0,100.0,10000.0,0.0,,-100.0
APPRENTICE LEVY (HMRC),72822.0,9.0,2.0,0.0,0.0,10000.0,0.0,-66.67521054558769,-100.0
GP Sessions / Staff Fund,68891.16,1.0,1.0,0.0,100.0,10000.0,0.0,,-100.0
