supplier,total_transactions,total_spend,mean_transaction_amount,ml_anomaly_rate,mean_ml_anomaly_score,rule_flag_rate,is_network_hub,composite_risk_score,risk_tier,community_id,community_size
TAYSIDE NHS BOARD,10,946076.0,94607.6,0.0,-0.077573032051314,0.2,False,68.41242283950618,Medium,,
DR M N PATEL & PARTNERS,26,3414958.81,131344.56961538462,0.0384615384615384,-0.1128025193702761,0.0769230769230769,False,68.38348765432099,Medium,,
CORNWALL COUNTY COUNCIL,15,1774051.67,118270.11133333332,0.0,-0.1053769984780171,0.4,False,68.34972993827161,Medium,,
UNITY INSIGHTS LTD,5,419935.01,83987.00200000001,0.0,-0.07831578974452,0.2,False,68.3449074074074,Medium,,
BIRMINGHAM LDC,6,200000.0,33333.333333333336,0.0,-0.1013307174081182,0.3333333333333333,False,68.28703703703704,Medium,5.0,91.0
CHIME SOCIAL ENTERPRISE,8,881048.38,110131.0475,0.0,-0.0896159980491721,0.25,False,68.27739197530863,Medium,,
PARKBURY HOUSE,13,660388.54,50799.11846153846,0.0,-0.0518828344418079,0.1538461538461538,False,68.21469907407408,Medium,,
DRS B BANSAL & DW READE,13,2251001.94,173153.99538461538,0.0,-0.0982191920491781,0.3076923076923077,False,68.20987654320987,Medium,,
NHS STAFFORDSHIRE AND STOKE ON TRENT ICB,33,12450584.41,377290.43666666665,0.0303030303030303,-0.1292355214566745,0.1818181818181818,False,68.19540895061729,Medium,3.0,221.0
DOROTHY HOUSE FOUNDATION LTD,5,772433.36,154486.672,0.0,-0.0792009234073249,0.2,False,68.19058641975309,Medium,,
SYDENHAM HOUSE MEDICAL CENTRE,7,165241.62,23605.945714285717,0.1428571428571428,-0.0823468161225429,0.0,False,68.06520061728395,Medium,,
NATIONAL INSTITUTE FOR HEALTH AND CARE EXCELLENCE,18,7860236.31,436679.795,0.0,-0.1090479618895782,0.5555555555555556,False,68.06037808641975,Medium,0.0,590.0
CEDARS MEDICAL GROUP,27,2470149.02,91487.00074074074,0.037037037037037,-0.120121486672642,0.1111111111111111,False,67.99768518518518,Medium,,
CAPPFINITY LTD,5,706250.0,141250.0,0.0,-0.0808022818693498,0.2,False,67.93981481481481,Medium,,
NEWTON EUROPE LTD,8,2807808.72,350976.09,0.0,-0.0911146219313364,0.25,False,67.92052469135803,Medium,,
NHS TEES VALLEY CCG,13,6809776.93,523828.9946153846,0.0,-0.0885244814123524,0.2307692307692307,True,67.89158950617283,Medium,2.0,317.0
MARKET & OPINION RESEARCH INTERNATIONAL LTD,28,18272108.41,652575.3003571428,0.0,-0.1041292468054944,0.3571428571428571,False,67.86265432098764,Medium,,
HILLSIDE PRACTICE,11,750791.65,68253.78636363636,0.0909090909090909,-0.0788622389263831,0.0,False,67.85300925925925,Medium,,
LONDON INTERNATIONAL EXHIBITION CENTRE PLC,12,1856075.26,154672.93833333332,0.0833333333333333,-0.1344022164305068,0.1666666666666666,False,67.79996141975309,Medium,,
CASTLE MEDICAL GROUP,10,436570.02,43657.002,0.1,-0.0801175971914523,0.0,False,67.7854938271605,Medium,3.0,221.0
CISILION LTD,6,535264.12,89210.68666666666,0.0,-0.0687422078432455,0.1666666666666666,False,67.7758487654321,Medium,,
SYNERTEC LTD,175,78262427.37,447213.8706857143,0.0057142857142857,-0.1289862473262448,0.2,False,67.72762345679013,Medium,,
LITCHDON MEDICAL CENTRE BARNSTAPLE,6,422719.28,70453.21333333333,0.1666666666666666,-0.0863231259240835,0.0,False,67.72762345679011,Medium,,
NORTHAMPTONSHIRE COUNTY COUNCIL,6,469278.0,78213.0,0.0,-0.0695863784793262,0.1666666666666666,False,67.67939814814815,Medium,5.0,91.0
DURHAM COUNTY COUNCIL,18,3997868.0,222103.77777777775,0.0555555555555555,-0.1587550666476088,0.5555555555555556,False,67.66975308641975,Medium,5.0,91.0
HEALTHWORKS VENTURES LTD,8,327658.37,40957.29625,0.0,-0.0923238098033464,0.25,False,67.66010802469135,Medium,,
HH ASSOCIATES LTD,33,8017229.75,242946.35606060605,0.0303030303030303,-0.126899400565617,0.1515151515151515,False,67.60223765432099,Medium,,
WESTROP SURGERY,5,737223.28,147444.65600000002,0.0,-0.0828656930218654,0.2,False,67.5733024691358,Medium,2.0,317.0
DR A W SHERWOOD & PARTNERS,18,968104.05,53783.55833333333,0.0555555555555555,-0.1237553894669813,0.1111111111111111,False,67.55883487654322,Medium,,
NORTH NORTHAMPTONSHIRE COUNCIL,5,414000.0,82800.0,0.0,-0.0831325730332679,0.2,False,67.53472222222223,Medium,5.0,91.0
DR LAWRENCE N W & PTNRS,7,333573.23,47653.31857142857,0.0,-0.054646967851771,0.1428571428571428,False,67.49614197530863,Medium,,
SHERBURN GROUP PRACTICE,12,1121019.24,93418.27,0.0833333333333333,-0.1215809660645902,0.0833333333333333,False,67.49131944444443,Medium,3.0,221.0
LONDON ROAD HEALTH CENTRE,9,436576.19,48508.46555555556,0.1111111111111111,-0.0831405479043713,0.0,False,67.48649691358024,Medium,2.0,317.0
BOXXE LTD,31,3794724.71,122410.47451612903,0.032258064516129,-0.0570718310257397,0.0,False,67.44791666666667,Medium,,
NHS PENSIONS AGENCY,5,735557.81,147111.562,0.0,-0.0836766125006406,0.2,False,67.44791666666667,Medium,1.0,552.0
